ID_Cliente,Nombre,Apellido,Email,Telefono,Fecha_Registro,Pais,Ciudad,Direccion,Codigo_Postal,Tipo_Cliente,Ultima_Compra_Fecha,Total_Gastado_EUR,Numero_Compras,Fuente_Adquisicion,Activo,Notas_Internas
CL0001,Rubén,Reina,rubén.reina@hotmail.com,+34 975 093 321,2022-07-16,Trinidad y Tabago,Almería,Callejón de Jose Manuel Cueto 4,16677,Basic,2024-04-23,4887.34,5,Web,False,
CL0002,Eusebio,Alberdi,eusebio.alberdi@yahoo.com,+34 823 99 71 26,2022-11-16,Irán,Burgos,Cañada de Elvira Medina 87 Puerta 8 ,23621,Standard,2023-05-31,4664.37,43,Anuncio Online,True,
CL0003,Poncio,Valera,poncio.valera@gmail.com,+34844 83 67 64,2024-01-02,Bhután,Málaga,Ronda Pacífica Molina 56 Apt. 50 ,03035,Premium,2024-03-20,2440.4,1,Web,False,
CL0004,Bárbara,Alcalá,bárbara.alcalá@hotmail.com,+34824 68 92 27,2023-11-30,Myanmar,Soria,Pasaje Gisela Verdejo 56,35669,Basic,2024-05-07,2088.8,0,Web,False,
CL0005,Daniela,Gual,daniela.gual@yahoo.com,+34 818 287 143,2024-12-24,China,Zaragoza,Plaza de Mónica Arévalo 158 Apt. 60 ,18285,Premium,2024-12-31,3443.32,19,Anuncio Online,True,
CL0006,Gabriel,Gallo,gabriel.gallo@gmail.com,+34882 311 597,2023-02-24,Côte d'Ivoire,León,Vial de Marino Duran 614 Piso 7 ,29978,Basic,,0,0,Web,False,Aut distinctio nisi enim debitis consectetur consectetur hic.
CL0007,Priscila,Cámara,priscila.cámara@gmail.com,+34 957815593,2024-07-29,Emiratos Árabes Unidos,Huesca,Alameda de Loreto Cabello 934,06949,Basic,2024-10-02,2210.17,18,Referido,False,
CL0008,Corona,Rovira,corona.rovira@yahoo.com,+34945449385,2023-06-10,Rwanda,Pontevedra,Plaza Ruy Rosales 37,47732,Premium,2023-07-05,1805.61,29,Web,False,Tempore reprehenderit ducimus veritatis quam neque culpa.
CL0009,Modesta,Coronado,modesta.coronado@yahoo.com,+34843 590 476,2022-05-06,Rwanda,Las Palmas,Acceso de Pancho Luís 37,45310,Basic,2024-11-19,3490.4,13,Anuncio Online,False,Aliquam nesciunt ratione sit saepe quibusdam eaque.
CL0010,Geraldo,Beltran,geraldo.beltran@yahoo.com,+34 606583382,2024-09-29,Guinea Bissau,Lleida,Vial de Dorotea Bernat 246 Apt. 65 ,23307,Standard,2025-01-25,1245.16,41,Web,False,
CL0011,Lalo,Almazán,lalo.almazán@gmail.com,+34 616 74 45 75,2022-07-08,Mónaco,Lugo,Camino Amado Pinedo 4 Puerta 2 ,49218,Standard,2024-06-21,2106.79,35,Redes Sociales,False,
CL0012,Vicenta,Quirós,vicenta.quirós@hotmail.com,+34 925 83 87 49,2023-10-12,Botswana,Huelva,Camino María Ángeles Sarmiento 10 Piso 1 ,15518,Premium,2025-01-11,1375.42,49,Web,False,Officiis dolorem accusamus blanditiis ipsam iusto similique vero.
